4388,Scary Movie 2 (2001),Comedy|Horror
4389,Lost and Delirious (2001),Drama|Romance
4390,Rape Me (Baise-moi) (2000),Crime|Drama|Thriller
4392,Alice (1990),Comedy|Drama|Fantasy|Romance
4393,Another Woman (1988),Drama|Comedy
4394,Beach Blanket Bingo (1965),Comedy|Musical
4395,Big Deal on Madonna Street (I Soliti Ignoti) (1958),Comedy|Crime
4396,"Cannonball Run, The (1981)",Action|Comedy
4397,Cannonball Run II (1984),Action|Comedy
4399,"Diary of a Chambermaid (Journal d'une femme de chambre, Le) (1964)",Crime|Thriller
4402,Dr. Goldfoot and the Bikini Machine (1965),Comedy|Sci-Fi
4403,"Fall of the House of Usher, The (House of Usher) (1960)",Horror|Fantasy
4404,Faust (1926),Drama|Fantasy|Horror
4406,"Man Who Shot Liberty Valance, The (1962)",Crime|Drama|Western
4407,Salvador (1986),Drama|Thriller|War
4408,September (1987),Drama|Comedy
4409,Shadows and Fog (1991),Comedy|Drama|Mystery|Thriller
4410,Something Wild (1986),Comedy|Crime|Drama|Thriller
4412,"Thing with Two Heads, The (1972)",Comedy|Horror|Sci-Fi
4419,All That Heaven Allows (1955),Drama|Romance
4420,"Barefoot Contessa, The (1954)",Drama|Crime
4422,Cries and Whispers (Viskningar och rop) (1972),Drama
4424,"Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il) (1970)",Drama|War|History
4426,Kiss Me Deadly (1955),Film-Noir|Thriller
4427,"Lion in Winter, The (1968)",Drama|History
4428,"Misfits, The (1961)",Comedy|Drama|Romance|Western
4429,Moby Dick (1956),Drama|Adventure
4432,Sweet Smell of Success (1957),Drama|Film-Noir|Thriller
4433,Written on the Wind (1956),Drama|Romance
4434,"10th Victim, The (La decima vittima) (1965)",Action|Comedy|Sci-Fi|Thriller
4436,Obsession (1976),Mystery|Thriller
4437,Suspiria (1977),Horror|Mystery|Thriller
4438,"Fist of Fury (Chinese Connection, The) (Jing wu men) (1972)",Action|Drama|Thriller
4439,Christiane F. (a.k.a. We Children from Bahnhof Zoo) (Christiane F. - Wir Kinder vom Bahnhof Zoo) (1981),Drama|Crime
4440,"Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971)",Action|Crime
4441,Game of Death (1978),Action|Thriller
4442,"Last Dragon, The (1985)",Action|Comedy|Drama
4443,Outland (1981),Action|Sci-Fi|Thriller|Western
4444,"Way of the Dragon, The (a.k.a. Return of the Dragon) (Meng long guo jiang) (1972)",Action|Crime|Comedy
4445,T-Rex: Back to the Cretaceous (1998),Adventure|Documentary|IMAX
4446,Final Fantasy: The Spirits Within (2001),Adventure|Animation|Fantasy|Sci-Fi
4447,Legally Blonde (2001),Comedy|Romance
4448,"Score, The (2001)",Action|Drama|Thriller
4449,Adanggaman (2000),Drama|History
4450,Bully (2001),Crime|Drama|Thriller
4451,Jump Tomorrow (2001),Comedy|Drama|Romance
4452,Made (2001),Comedy|Thriller
4453,Michael Jordan to the Max (2000),Documentary|IMAX
4454,More (1998),Animation|Drama|Sci-Fi|IMAX
4458,Africa: The Serengeti (1994),Documentary|IMAX|Drama
4459,Alaska: Spirit of the Wild (1997),Documentary|IMAX
4462,18 Again! (1988),Comedy|Fantasy
4463,1969 (1988),Drama|War
4464,"Accidental Tourist, The (1988)",Comedy|Drama|Romance
4465,"Accused, The (1988)",Drama|Crime
4466,Above the Law (1988),Action|Crime|Drama|Thriller
4467,"Adventures of Baron Munchausen, The (1988)",Adventure|Comedy|Fantasy
4470,Ariel (1988),Drama|Crime|Romance
4471,Arthur 2: On the Rocks (1988),Comedy|Romance
4473,Bat*21 (1988),Drama|War|Action
4474,Beaches (1988),Comedy|Drama|Musical
4475,"Beast of War, The (Beast, The) (1988)",Drama|War
4476,Big Business (1988),Comedy|Drama
4477,Big Top Pee-Wee (1988),Adventure|Children|Comedy
4478,Biloxi Blues (1988),Comedy|Drama|War
4480,"Blob, The (1988)",Horror|Sci-Fi
4482,"Bright Lights, Big City (1988)",Drama|Comedy
4483,Caddyshack II (1988),Comedy|Sports|Family
4484,Camille Claudel (1988),Drama|Romance
4487,Cocktail (1988),Drama|Romance|Comedy
4488,Colors (1988),Action|Crime|Drama
4489,Coming to America (1988),Comedy|Romance
4490,"Couch Trip, The (1988)",Comedy|Indie
4492,Critters (1986),Horror|Sci-Fi
4495,Crossing Delancey (1988),Comedy|Romance
4496,D.O.A. (1988),Film-Noir|Mystery|Thriller
4497,Dead Heat (1988),Action|Comedy|Horror|Sci-Fi
4498,"Dead Pool, The (1988)",Action|Crime|Thriller
4499,Dirty Rotten Scoundrels (1988),Comedy|Crime
4500,Drowning by Numbers (1988),Comedy|Drama
4502,Ernest Saves Christmas (1988),Children|Comedy
4504,Feds (1988),Comedy|Action
4505,For Keeps (1988),Drama|Romance|Comedy
4506,Frantic (1988),Crime|Mystery|Thriller
4508,Gorillas in the Mist (1988),Adventure|Documentary
4509,"Great Outdoors, The (1988)",Comedy|Children
4511,High Spirits (1988),Comedy|Horror
4516,Johnny Be Good (1988),Comedy|Sports
4517,Lady in White (a.k.a. The Mystery of the Lady in White) (1988),Horror|Mystery|Thriller
4518,The Lair of the White Worm (1988),Comedy|Horror
4519,"Land Before Time, The (1988)",Adventure|Animation|Children|Fantasy
4520,License to Drive (1988),Comedy
4521,Little Nikita (1988),Thriller|Action
4522,Masquerade (1988),Mystery|Romance|Thriller
4523,Milagro Beanfield War (1988),Comedy|Drama|Fantasy
4524,Moon Over Parador (1988),Comedy|Romance
4526,My Stepmother Is an Alien (1988),Comedy|Romance|Sci-Fi
4527,"Night in the Life of Jimmy Reardon, A (1988)",Comedy|Romance
4529,Bagdad Cafe (Out of Rosenheim) (1987),Comedy|Drama
4531,Red Heat (1988),Action|Comedy
4533,"Return of the Living Dead, The (1985)",Comedy|Horror|Sci-Fi
4534,Return to Snowy River (a.k.a. The Man From Snowy River II) (1988),Adventure|Drama|Western
4535,"Man from Snowy River, The (1982)",Drama|Romance|Western
4537,Running on Empty (1988),Drama|Crime|Romance
4541,"Serpent and the Rainbow, The (1988)",Horror|Fantasy
4544,Short Circuit 2 (1988),Comedy|Sci-Fi|Children
4545,Short Circuit (1986),Comedy|Sci-Fi|Children
4546,"Vanishing, The (Spoorloos) (1988)",Drama|Thriller|Crime
4552,"Tetsuo, the Ironman (Tetsuo) (1988)",Action|Horror|Sci-Fi|Thriller
4553,They Live (1988),Action|Sci-Fi|Thriller
4557,Tucker: The Man and His Dream (1988),Drama|Comedy
4558,Twins (1988),Comedy|Action
4562,Without a Clue (1988),Comedy|Mystery|Thriller
4563,Young Einstein (1988),Comedy|Slapstick
4564,Always (1989),Drama|Fantasy|Romance
4565,American Ninja (1985),Action|Adventure
4568,Best of the Best (1989),Action|Sports
4571,Bill & Ted's Excellent Adventure (1989),Adventure|Comedy|Sci-Fi
4572,Black Rain (1989),Action|Crime|Drama
4573,Blaze (1989),Comedy|Drama|Romance
4574,Blind Fury (1989),Action|Thriller|Comedy
4577,Casualties of War (1989),Drama|War|Crime
4578,Chances Are (1989),Comedy|Romance
4580,Cyborg (1989),Action|Sci-Fi
4581,Dad (1989),Drama|Comedy
4583,Disorganized Crime (1989),Action|Comedy
4584,Dream a Little Dream (1989),Comedy|Drama|Romance
4585,"Dream Team, The (1989)",Comedy|Crime
4587,Earth Girls Are Easy (1988),Comedy|Musical|Sci-Fi
4589,Eddie and the Cruisers (1983),Drama|Musical|Mystery
4591,Erik the Viking (1989),Adventure|Comedy|Fantasy
4593,Family Business (1989),Comedy|Crime
4594,Farewell to the King (1989),Action|War|Adventure
4595,Fat Man and Little Boy (1989),Drama|War
4597,Gleaming the Cube (1989),Action|Drama|Mystery
4599,Great Balls of Fire! (1989),Drama|Musical
4600,Gross Anatomy (a.k.a. A Cut Above) (1989),Comedy|Drama
4602,Harlem Nights (1989),Comedy|Crime|Romance
4603,Her Alibi (1989),Comedy|Romance
4605,How to Get Ahead in Advertising (1989),Comedy|Fantasy
4608,"Innocent Man, An (1989)",Crime|Drama|Thriller|Action
4610,"January Man, The (1989)",Comedy|Crime|Mystery|Thriller
4611,Johnny Handsome (1989),Crime|Drama|Thriller|Action
4612,Jesus of Montreal (J챕sus de Montr챕al) (1989),Drama
4613,K-9 (1989),Action|Comedy|Crime
4614,Kickboxer (1989),Action|Sports
4615,Last Exit to Brooklyn (1989),Drama|Crime|History
4616,Lean on Me (1989),Drama|Action
4617,Let It Ride (1989),Comedy|Action
4619,Little Monsters (1989),Comedy|Adventure|Children|Fantasy
4621,Look Who's Talking (1989),Comedy|Romance|Children
4622,Loverboy (1989),Comedy|Romance
4623,Major League (1989),Comedy|Sports
4624,Meet the Feebles (1989),Animation|Comedy|Musical
4625,Millennium (1989),Drama|Sci-Fi|Thriller
4626,Miracle Mile (1989),Drama|Romance|Sci-Fi
4628,New York Stories (1989),Comedy|Drama|Romance
4629,Next of Kin (1989),Action|Crime|Thriller
4630,No Holds Barred (1989),Action|Sports
4632,"Package, The (1989)",Action|Thriller
4634,Penn & Teller Get Killed (1989),Adventure|Comedy|Thriller
4635,Pink Cadillac (1989),Action|Comedy|Drama
4636,"Punisher, The (1989)",Action|Thriller
4638,Jurassic Park III (2001),Action|Adventure|Sci-Fi|Thriller
4639,America's Sweethearts (2001),Comedy|Romance
4640,Brother (2000),Action|Crime|Thriller
4641,Ghost World (2001),Comedy|Drama|Action
4642,Hedwig and the Angry Inch (2000),Comedy|Drama|Musical
4643,Planet of the Apes (2001),Action|Adventure|Drama|Sci-Fi
4644,Bread and Tulips (Pane e tulipani) (2000),Comedy|Drama|Romance
4645,Cure (1997),Crime|Horror|Thriller
4646,Greenfingers (2000),Comedy|Drama
4649,Wet Hot American Summer (2001),Comedy|Romance
4653,"Return of the Musketeers, The (1989)",Adventure|Comedy|Action
4654,Road House (1989),Action|Drama|Thriller
4658,Santa Sangre (1989),Drama|Horror|Mystery|Thriller
4660,Scenes from the Class Struggle in Beverly Hills (1989),Comedy|Indie
4661,Sea of Love (1989),Crime|Drama|Thriller
4662,"See No Evil, Hear No Evil (1989)",Comedy|Crime|Thriller
4663,She's Out of Control (1989),Comedy|Indie
4666,Skin Deep (1989),Comedy|Romance
4670,"Stepfather, The (1987)",Horror|Thriller|Crime
4671,Sweetie (1989),Drama|Comedy
4672,"Tall Guy, The (1989)",Comedy|Romance
4673,Tango & Cash (1989),Action|Comedy|Crime|Thriller
4675,Three Fugitives (1989),Action|Comedy
4676,Troop Beverly Hills (1989),Comedy|Children
4677,Turner & Hooch (1989),Comedy|Crime|Children
4678,UHF (1989),Comedy|Drama
4679,Uncle Buck (1989),Comedy|Children
4681,"War of the Roses, The (1989)",Comedy|Drama|Thriller
4683,"Wizard, The (1989)",Adventure|Children|Comedy|Drama
4686,Weekend at Bernie's II (1993),Adventure|Comedy
4687,Billy Liar (1963),Comedy|Fantasy
4688,Black Robe (1991),Adventure|Drama|Western
4689,"Cat o' Nine Tails, The (Gatto a nove code, Il) (1971)",Mystery|Thriller|Horror
4690,"Cotton Club, The (1984)",Crime|Musical
4695,Who'll Stop the Rain (1978),Crime|Drama|Thriller
4697,Basket Case (1982),Comedy|Horror
4699,Original Sin (2001),Drama|Romance|Thriller
4700,"Princess Diaries, The (2001)",Children|Comedy|Romance
4701,Rush Hour 2 (2001),Action|Comedy
4703,Chocolat (1988),Drama|Comedy
4704,Hatari! (1962),Adventure|Comedy
4705,"Cage aux Folles, La (1978)",Comedy|Drama
4708,Marat/Sade (1966),Drama|Musical
4709,Paint Your Wagon (1969),Comedy|Musical|Western
4710,"Shootist, The (1976)",Drama|Western
4711,Theremin: An Electronic Odyssey (1993),Documentary|Indie
4713,Altered States (1980),Drama|Sci-Fi
4714,Any Which Way You Can (1980),Comedy|Action
